24/04/18 12:47:10 PM | ERROR: [8] Use of undefined constant IMG_RURAL_SHOP - assumed 'IMG_RURAL_SHOP'
Notice on line 27 in file /opt/lampp/htdocs/Proyectos/GiovannyProy4/classes/email/email.class.singleton.php
 | contact | response 200
24/04/18 23:33:58 PM | error loadView general | view/css | response 400
24/04/18 23:33:58 PM | error loadView general | media | response 400
24/04/18 23:33:58 PM | error loadView general | view/css | response 400
24/04/18 23:34:02 PM | error loadView general | view | response 400
24/04/18 23:34:30 PM | error loadView general | view/css | response 400
24/04/18 23:34:30 PM | error loadView general | view/css | response 400
24/04/18 23:34:31 PM | error loadView general | media | response 400
24/04/18 23:34:33 PM | error loadView general | view | response 400
24/04/18 23:34:52 PM | error loadView general | view/css | response 400
24/04/18 23:34:53 PM | error loadView general | media | response 400
24/04/18 23:34:53 PM | error loadView general | view/css | response 400
24/04/18 23:34:56 PM | error loadView general | view | response 400
24/04/18 23:35:19 PM | error loadView general | view/css | response 400
24/04/18 23:35:20 PM | error loadView general | media | response 400
24/04/18 23:35:20 PM | error loadView general | view/css | response 400
24/04/18 23:35:22 PM | error loadView general | view | response 400
24/04/18 23:35:47 PM | error loadView general | view/css | response 400
24/04/18 23:35:47 PM | error loadView general | view/css | response 400
24/04/18 23:35:47 PM | error loadView general | media | response 400
24/04/18 23:35:50 PM | error loadView general | view | response 400
24/04/18 23:36:17 PM | error loadView general | view/css | response 400
24/04/18 23:36:17 PM | error loadView general | media | response 400
24/04/18 23:36:17 PM | error loadView general | view/css | response 400
24/04/18 23:36:21 PM | error loadView general | view | response 400
24/04/18 23:36:56 PM | error loadView general | view/css | response 400
24/04/18 23:36:56 PM | error loadView general | media | response 400
24/04/18 23:36:56 PM | error loadView general | view/css | response 400
24/04/18 23:37:00 PM | error loadView general | view | response 400
24/04/18 23:37:14 PM | error loadView general | view/css | response 400
24/04/18 23:37:15 PM | error loadView general | media | response 400
24/04/18 23:37:18 PM | error loadView general | view | response 400
24/04/18 23:37:55 PM | error loadView general | view/css | response 400
24/04/18 23:37:55 PM | error loadView general | view/css | response 400
24/04/18 23:37:55 PM | error loadView general | media | response 400
24/04/18 23:37:58 PM | error loadView general | view | response 400
24/04/18 23:40:17 PM | error loadView general | view/css | response 400
24/04/18 23:40:17 PM | error loadView general | media | response 400
24/04/18 23:40:20 PM | error loadView general | view | response 400
24/04/18 23:59:49 PM | error loadView general | view/css | response 400
24/04/18 23:59:49 PM | error loadView general | media | response 400
24/04/18 23:59:49 PM | error loadView general | view/css | response 400
24/04/18 23:59:52 PM | error loadView general | view | response 400
25/04/18 00:08:00 AM | error loadView general | view/css | response 400
25/04/18 00:08:00 AM | error loadView general | view/css | response 400
25/04/18 00:08:00 AM | error loadView general | media | response 400
25/04/18 00:08:03 AM | error loadView general | view | response 400
25/04/18 00:10:29 AM | error loadView general | view/css | response 400
25/04/18 00:10:30 AM | error loadView general | media | response 400
25/04/18 00:10:30 AM | error loadView general | view/css | response 400
25/04/18 00:10:33 AM | error loadView general | view | response 400
25/04/18 00:11:16 AM | error loadView general | view/css | response 400
25/04/18 00:11:17 AM | error loadView general | media | response 400
25/04/18 00:11:17 AM | error loadView general | view/css | response 400
25/04/18 00:11:20 AM | error loadView general | view | response 400
25/04/18 00:11:35 AM | error loadView general | view/css | response 400
25/04/18 00:11:35 AM | error loadView general | view/css | response 400
25/04/18 00:11:35 AM | error loadView general | media | response 400
25/04/18 00:11:39 AM | error loadView general | view | response 400
25/04/18 00:18:23 AM | error loadView general | view/css | response 400
25/04/18 00:18:23 AM | error loadView general | media | response 400
25/04/18 00:18:24 AM | error loadView general | view/css | response 400
25/04/18 00:19:33 AM | error loadView general | view/css | response 400
25/04/18 00:19:34 AM | error loadView general | media | response 400
25/04/18 00:21:05 AM | error loadView general | view/css | response 400
25/04/18 00:21:06 AM | error loadView general | view/css | response 400
25/04/18 00:21:06 AM | error loadView general | media | response 400
25/04/18 00:22:13 AM | error loadView general | view/css | response 400
25/04/18 00:22:14 AM | error loadView general | view/css | response 400
25/04/18 00:22:14 AM | error loadView general | media | response 400
25/04/18 00:22:53 AM | error loadView general | view/css | response 400
25/04/18 00:22:53 AM | error loadView general | view/css | response 400
25/04/18 00:22:53 AM | error loadView general | media | response 400
25/04/18 00:23:23 AM | error loadView general | view/css | response 400
25/04/18 00:23:24 AM | error loadView general | view/css | response 400
25/04/18 00:23:24 AM | error loadView general | media | response 400
25/04/18 00:28:28 AM | error loadView general | view/css | response 400
25/04/18 00:28:29 AM | error loadView general | media | response 400
25/04/18 00:28:29 AM | error loadView general | view/css | response 400
25/04/18 00:30:02 AM | error loadView general | view/css | response 400
25/04/18 00:30:03 AM | error loadView general | view/css | response 400
25/04/18 00:30:03 AM | error loadView general | media | response 400
25/04/18 00:31:09 AM | error loadView general | view/css | response 400
25/04/18 00:31:09 AM | error loadView general | media | response 400
25/04/18 00:31:33 AM | error loadView general | view/css | response 400
25/04/18 00:31:34 AM | error loadView general | view/css | response 400
25/04/18 00:31:34 AM | error loadView general | media | response 400
25/04/18 00:32:21 AM | error loadView general | view/css | response 400
25/04/18 00:32:21 AM | error loadView general | media | response 400
25/04/18 00:33:07 AM | error loadView general | view/css | response 400
25/04/18 00:33:07 AM | error loadView general | view/css | response 400
25/04/18 00:33:07 AM | error loadView general | media | response 400
25/04/18 00:33:36 AM | error loadView general | view/css | response 400
25/04/18 00:33:37 AM | error loadView general | media | response 400
25/04/18 00:33:37 AM | error loadView general | view/css | response 400
25/04/18 00:33:56 AM | error loadView general | view/css | response 400
25/04/18 00:33:56 AM | error loadView general | media | response 400
25/04/18 00:33:56 AM | error loadView general | view/css | response 400
25/04/18 00:34:26 AM | error loadView general | view/css | response 400
