ERROR: [8] Use of undefined constant IMG_RURAL_SHOP - assumed 'IMG_RURAL_SHOP'
Notice on line 27 in file /opt/lampp/htdocs/Proyectos/GiovannyProy4/classes/email/email.class.singleton.php
error loadView general | 24.04.2018 23:15:40  |  User:   | view/css | response 400
error loadView general | 24.04.2018 23:15:40  |  User:   | view/css | response 400
error loadView general | 24.04.2018 23:15:40  |  User:   | media | response 400
error loadView general | 24.04.2018 23:16:47  |  User:   | view/css | response 400
error loadView general | 24.04.2018 23:16:47  |  User:   | view/css | response 400
error loadView general | 24.04.2018 23:16:47  |  User:   | media | response 400
error loadView general | 24.04.2018 23:19:45  |  User:   | view/css | response 400
error loadView general | 24.04.2018 23:19:46  |  User:   | view/css | response 400
error loadView general | 24.04.2018 23:19:47  |  User:   | media | response 400
error loadView general | 24.04.2018 23:21:04  |  User:   | view/css | response 400
error loadView general | 24.04.2018 23:21:04  |  User:   | media | response 400
error loadView general | 24.04.2018 23:21:05  |  User:   | view/css | response 400
error loadView general | 24.04.2018 23:23:51  |  User:   | view/css | response 400
error loadView general | 24.04.2018 23:23:52  |  User:   | media | response 400
error loadView general | 24.04.2018 23:23:55  |  User:   | view | response 400
error loadView general | 24.04.2018 23:26:02  |  User:   | view/css | response 400
error loadView general | 24.04.2018 23:26:03  |  User:   | view/css | response 400
error loadView general | 24.04.2018 23:26:03  |  User:   | media | response 400
error loadView general | 24.04.2018 23:26:07  |  User:   | view | response 400
error loadView general | 24.04.2018 23:26:20  |  User:   | view/css | response 400
error loadView general | 24.04.2018 23:26:21  |  User:   | media | response 400
error loadView general | 24.04.2018 23:26:26  |  User:   | view | response 400
error loadView general | 24.04.2018 23:27:14  |  User:   | view/css | response 400
error loadView general | 24.04.2018 23:27:14  |  User:   | view/css | response 400
error loadView general | 24.04.2018 23:27:15  |  User:   | media | response 400
error loadView general | 24.04.2018 23:27:18  |  User:   | view | response 400
error loadView general | 24.04.2018 23:27:31  |  User:   | view/css | response 400
error loadView general | 24.04.2018 23:27:31  |  User:   | view/css | response 400
error loadView general | 24.04.2018 23:27:31  |  User:   | media | response 400
error loadView general | 24.04.2018 23:27:36  |  User:   | view | response 400
error loadView general | 24.04.2018 23:29:00  |  User:   | view/css | response 400
error loadView general | 24.04.2018 23:29:00  |  User:   | view/css | response 400
error loadView general | 24.04.2018 23:29:00  |  User:   | media | response 400
error loadView general | 24.04.2018 23:29:03  |  User:   | view | response 400
error loadView general | 24.04.2018 23:29:17  |  User:   | view/css | response 400
error loadView general | 24.04.2018 23:29:18  |  User:   | media | response 400
error loadView general | 24.04.2018 23:29:18  |  User:   | view/css | response 400
error loadView general | 24.04.2018 23:29:21  |  User:   | view | response 400
error loadView general | 24.04.2018 23:32:25  |  User:   | view/css | response 400
error loadView general | 24.04.2018 23:32:26  |  User:   | media | response 400
error loadView general | 24.04.2018 23:32:26  |  User:   | view/css | response 400
error loadView general | 24.04.2018 23:32:29  |  User:   | view | response 400
error loadView general | 24.04.2018 23:33:03  |  User:   | view/css | response 400
error loadView general | 24.04.2018 23:33:04  |  User:   | view/css | response 400
error loadView general | 24.04.2018 23:33:04  |  User:   | media | response 400
error loadView general | 24.04.2018 23:33:06  |  User:   | view | response 400
error loadView general | 24.04.2018 23:33:58  |  User:   | view/css | response 400
error loadView general | 24.04.2018 23:33:58  |  User:   | media | response 400
error loadView general | 24.04.2018 23:33:58  |  User:   | view/css | response 400
error loadView general | 24.04.2018 23:34:02  |  User:   | view | response 400
error loadView general | 24.04.2018 23:34:30  |  User:   | view/css | response 400
error loadView general | 24.04.2018 23:34:30  |  User:   | view/css | response 400
error loadView general | 24.04.2018 23:34:31  |  User:   | media | response 400
error loadView general | 24.04.2018 23:34:33  |  User:   | view | response 400
error loadView general | 24.04.2018 23:34:52  |  User:   | view/css | response 400
error loadView general | 24.04.2018 23:34:53  |  User:   | media | response 400
error loadView general | 24.04.2018 23:34:53  |  User:   | view/css | response 400
error loadView general | 24.04.2018 23:34:56  |  User:   | view | response 400
error loadView general | 24.04.2018 23:35:19  |  User:   | view/css | response 400
error loadView general | 24.04.2018 23:35:20  |  User:   | media | response 400
error loadView general | 24.04.2018 23:35:20  |  User:   | view/css | response 400
error loadView general | 24.04.2018 23:35:22  |  User:   | view | response 400
error loadView general | 24.04.2018 23:35:47  |  User:   | view/css | response 400
error loadView general | 24.04.2018 23:35:47  |  User:   | view/css | response 400
error loadView general | 24.04.2018 23:35:47  |  User:   | media | response 400
error loadView general | 24.04.2018 23:35:50  |  User:   | view | response 400
error loadView general | 24.04.2018 23:36:17  |  User:   | view/css | response 400
error loadView general | 24.04.2018 23:36:17  |  User:   | media | response 400
error loadView general | 24.04.2018 23:36:17  |  User:   | view/css | response 400
error loadView general | 24.04.2018 23:36:21  |  User:   | view | response 400
error loadView general | 24.04.2018 23:36:56  |  User:   | view/css | response 400
error loadView general | 24.04.2018 23:36:56  |  User:   | media | response 400
error loadView general | 24.04.2018 23:36:56  |  User:   | view/css | response 400
error loadView general | 24.04.2018 23:37:00  |  User:   | view | response 400
error loadView general | 24.04.2018 23:37:14  |  User:   | view/css | response 400
error loadView general | 24.04.2018 23:37:15  |  User:   | media | response 400
error loadView general | 24.04.2018 23:37:18  |  User:   | view | response 400
error loadView general | 24.04.2018 23:37:55  |  User:   | view/css | response 400
error loadView general | 24.04.2018 23:37:55  |  User:   | view/css | response 400
error loadView general | 24.04.2018 23:37:55  |  User:   | media | response 400
error loadView general | 24.04.2018 23:37:58  |  User:   | view | response 400
error loadView general | 24.04.2018 23:40:17  |  User:   | view/css | response 400
error loadView general | 24.04.2018 23:40:17  |  User:   | media | response 400
error loadView general | 24.04.2018 23:40:20  |  User:   | view | response 400
error loadView general | 24.04.2018 23:59:49  |  User:   | view/css | response 400
error loadView general | 24.04.2018 23:59:49  |  User:   | media | response 400
error loadView general | 24.04.2018 23:59:49  |  User:   | view/css | response 400
error loadView general | 24.04.2018 23:59:52  |  User:   | view | response 400
error loadView general | 25.04.2018 00:08:00  |  User:   | view/css | response 400
error loadView general | 25.04.2018 00:08:00  |  User:   | view/css | response 400
error loadView general | 25.04.2018 00:08:00  |  User:   | media | response 400
error loadView general | 25.04.2018 00:08:03  |  User:   | view | response 400
error loadView general | 25.04.2018 00:10:29  |  User:   | view/css | response 400
error loadView general | 25.04.2018 00:10:30  |  User:   | media | response 400
error loadView general | 25.04.2018 00:10:30  |  User:   | view/css | response 400
error loadView general | 25.04.2018 00:10:33  |  User:   | view | response 400
error loadView general | 25.04.2018 00:11:16  |  User:   | view/css | response 400
error loadView general | 25.04.2018 00:11:17  |  User:   | media | response 400
error loadView general | 25.04.2018 00:11:17  |  User:   | view/css | response 400
error loadView general | 25.04.2018 00:11:20  |  User:   | view | response 400
error loadView general | 25.04.2018 00:11:35  |  User:   | view/css | response 400
error loadView general | 25.04.2018 00:11:35  |  User:   | view/css | response 400
error loadView general | 25.04.2018 00:11:35  |  User:   | media | response 400
error loadView general | 25.04.2018 00:11:39  |  User:   | view | response 400
error loadView general | 25.04.2018 00:18:23  |  User:   | view/css | response 400
error loadView general | 25.04.2018 00:18:23  |  User:   | media | response 400
error loadView general | 25.04.2018 00:18:24  |  User:   | view/css | response 400
error loadView general | 25.04.2018 00:19:33  |  User:   | view/css | response 400
error loadView general | 25.04.2018 00:19:34  |  User:   | media | response 400
error loadView general | 25.04.2018 00:21:05  |  User:   | view/css | response 400
error loadView general | 25.04.2018 00:21:06  |  User:   | view/css | response 400
error loadView general | 25.04.2018 00:21:06  |  User:   | media | response 400
error loadView general | 25.04.2018 00:22:13  |  User:   | view/css | response 400
error loadView general | 25.04.2018 00:22:14  |  User:   | view/css | response 400
error loadView general | 25.04.2018 00:22:14  |  User:   | media | response 400
error loadView general | 25.04.2018 00:22:53  |  User:   | view/css | response 400
error loadView general | 25.04.2018 00:22:53  |  User:   | view/css | response 400
error loadView general | 25.04.2018 00:22:53  |  User:   | media | response 400
error loadView general | 25.04.2018 00:23:23  |  User:   | view/css | response 400
error loadView general | 25.04.2018 00:23:24  |  User:   | view/css | response 400
error loadView general | 25.04.2018 00:23:24  |  User:   | media | response 400
error loadView general | 25.04.2018 00:28:28  |  User:   | view/css | response 400
error loadView general | 25.04.2018 00:28:29  |  User:   | media | response 400
error loadView general | 25.04.2018 00:28:29  |  User:   | view/css | response 400
error loadView general | 25.04.2018 00:30:02  |  User:   | view/css | response 400
error loadView general | 25.04.2018 00:30:03  |  User:   | view/css | response 400
error loadView general | 25.04.2018 00:30:03  |  User:   | media | response 400
error loadView general | 25.04.2018 00:31:09  |  User:   | view/css | response 400
error loadView general | 25.04.2018 00:31:09  |  User:   | media | response 400
